Sample,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40
ID32,11973,467.7,65.8,504.7,10.6,2311.2,17030.6,5981.7,672.8,60.4,2815.7,144.5,73.9,885.1,69.6,933.8,19470.4,522.5,62.3,1768.6,741.7,94.6,1848.3,5736,1265.4,33.8,135634.7,1158.2,2246.4,20134,736.4,684.9,52.8,2132.3,210,61.1,4466.5,1615.3,1537.4,2866.9
ID33,12030.4,725.7,153.6,553.6,10.8,4052.9,28117.4,6458.8,889,79,6575.3,319.9,193.4,1207.8,129.2,904.3,34190.3,1137.9,151.7,2095.8,1768.9,51.8,1461.4,3893,4046.3,62.1,164227.7,1032,1718.5,26983,1271.9,1337.9,65.6,3354.7,333.4,73.1,8491.8,3098.1,10331.9,4346.3
ID34,11621,259.9,57.9,241.5,13.3,2786.1,17602.4,7633.2,756,52.5,1566.3,49.6,121.7,723.9,60.2,1490.2,14738.9,502.6,44.8,2191.7,1010.6,160.3,190.9,4737.8,844.1,19.5,107673.8,993.6,2407.1,15197.1,558,510.4,26.2,1728.5,168.5,55,1991.1,1729.6,2691,1697.1
ID35,11240.5,336.3,61.3,273,14.4,4499.6,23016.9,7829.4,1121,112.2,2078.8,59.2,97.2,774.7,78.5,924,19492.1,659.6,62.4,2483.8,660.5,103.7,613,4766,1710.5,29.2,120580.4,706,1945.2,23043.5,743.2,680.7,37.5,1538.5,175.3,60.5,1761.2,1780.9,1941.3,1886.8
ID36,11625.1,1153.9,229.3,484.4,20.8,2550.3,11414.5,9531.9,614.1,36.9,1619.5,120,60,769.2,42.1,1457,20827.5,433.8,53,2387.7,1343.7,60.9,526.5,6829.1,730.7,57.1,110966.3,930.9,1970,14853.4,489.4,649.4,52.4,2771.1,205.7,48.6,4992.9,2027,3842,2922.9
ID37,22760.4,642.6,118.6,726.1,18.5,4521.1,23167.3,15723.7,1191.5,97.5,1745.8,128.7,136.7,1267.9,117.2,2627.1,25896.7,682,180.8,4299,1228.2,136.3,533.9,5754.8,967.3,50.9,145613.1,1558.8,3025.5,24304.1,653.2,799.5,46.9,3212.7,338.5,117.6,5111,2704.6,3419.3,3825.9
ID38,19611.2,683.2,115.4,3147.2,27.3,4820.2,40677,13122.6,256.7,109.1,1595.2,130.7,130.2,1307.3,103.2,3694.2,31101.3,1066.6,44.3,4599,1499.5,199.6,218.2,5600.7,1105.8,44.5,134990,52,2922.8,33288.9,1024.3,1032.7,32.7,2505.7,325.4,153,6659.9,2993.8,5155,3419.8
ID39,15999.2,940.3,140.1,7618.7,25.6,4270.9,30474.6,8725.2,988.1,97.6,4024.9,273.5,168.5,1211.7,116.7,1256.1,32847.6,986.9,193.1,3779.7,1144.4,84.5,1687,4821.5,2587.2,71.5,195156.3,1039.1,3100.6,25903.7,785.4,1100.3,42.8,2345.5,285.9,330.3,6443.2,2591,5139.3,4744.1
ID40,12118.9,432.6,93.7,246.2,7.8,3256.2,14105.4,7266.8,470.6,59.4,3048.2,165,80.7,951.4,66.2,1640.2,21685,478,47.7,3320.8,1091.6,78.7,1768.5,4880.2,1766.1,40.9,103823.5,1230.8,2406.2,20126.2,1129.2,836.5,42.8,3287.1,307.1,49.1,5864.2,3108.4,5059.6,2269.8
ID41,18510.4,659.1,80.4,2554.1,17.8,4557.5,25893.5,13563,1123.8,106,1959.4,64.1,195,1237.5,97.3,2240.5,30638.5,777.2,125.1,4383.1,752.6,123.9,357.7,6672.9,1496,42.2,156344.2,344.8,2860.4,23703.8,1103.5,816.9,30.8,2275.2,290.3,148.7,4802.7,2661,3215.9,3400.5
ID42,17733.9,689.9,122.1,1558.8,15.7,4056.5,37053.3,9704.3,1114.7,104.9,2258.5,97,237,1286.5,180.6,1716.2,31314.7,1024.2,33.9,3729.3,901.9,129.6,616.1,4297.5,2211.6,62,181241.3,781.6,3061.2,35229.4,881.2,1212.7,35.2,2747.4,256,125.2,5088.8,2561.7,4521,4000.8
ID43,8986.9,487.4,106.6,994.9,28.9,5968.4,30499.5,11978.5,257.6,88.1,12871.3,130.8,180.8,1445.3,112.5,3472.4,32674.6,865.1,172.6,5464.3,461.5,130.1,488.5,7563.8,1556.5,72.9,144437.8,252.7,1770.4,30017.7,881.7,795.8,42.7,2644.6,396,112,9667,2969.8,5896.6,3250.3
ID44,10592.3,436.1,86,199.4,10.2,3093.6,19416.2,4249.5,587.8,47.8,2556,168,116.5,787,68.3,838.2,22204.6,546.3,29.1,1896.1,438.4,22.4,2617,2584.1,2035.8,33.5,111353.6,738.2,1592.9,16097.5,979.8,832.3,27,3018.1,213.6,39.7,6681.7,2300.1,6470.3,76.2
ID45,8563.2,328,71.5,,13.5,1494.9,11345.4,3400.8,77.9,36.8,1780.2,98.4,73.7,585.7,58.4,1008.5,13264.3,399.3,43.1,1504.2,419.5,32.5,325,3107.3,843.4,38.8,79869.6,323.2,1600.1,13969.6,699.5,579.4,43.5,1846,128.2,30.2,3658.4,284.5,3967.1,2062.4
